"variable","unique_values","missing_values","levels","description","type","min","max","na","na_values","synonyms"
"mpg",25,0,"NA","Miles Per Gallon","numeric",10.4,33.9,TRUE,"NA","NA"
"cyl",3,0,"4, 6, 8","Number of cylinders ","integer",4,8,TRUE,"NA","NA"
"disp",27,0,"NA","Displacement","numeric",71.1,472,TRUE,"NA","NA"
"hp",22,0,"NA","Horsepower","integer",52,335,TRUE,"NA","NA"
"drat",22,0,"NA","Rear axle ratio","numeric",2.76,4.93,TRUE,"NA","NA"
"wt",29,0,"NA","Weight (1000 lbs)","numeric",1.513,5.424,TRUE,"NA","NA"
"qsec",30,0,"NA","1/4 Mile time","numeric",14.5,22.9,TRUE,"NA","NA"
"vs",2,0,"0, 1","Engine","categorical",0,1,TRUE,"NA","NA"
"am",2,0,"0, 1","Transmission","categorical",0,1,TRUE,"NA","NA"
"gear",3,0,"3, 4, 5","Number of gears","integer",3,5,TRUE,"NA","NA"
"carb",6,0,"1, 2, 3, 4, 6, 8","Caburetors","integer",1,8,TRUE,"NA","NA"
