"variable","unique_values","missing_values","levels","description","type","min","max","na","na_values","synonyms"
"StartDate",175,0,"NA","Start Date","POSIXct","2019-07-04 14:21:30","2019-07-05 05:03:48",TRUE,"NA","NA"
"EndDate",169,0,"NA","End Date","POSIXct","2019-07-04 14:22:02","2019-07-05 08:13:41",TRUE,"NA","NA"
"Status",1,0,"0","Status from Qualtrics","numeric","0","0",TRUE,"NA","NA"
"IPAddress",1,176,"","IP Address","numeric","No Data Present","No Data Present",TRUE,"NA","NA"
"Progress",7,0,"  8,  25,  42,  58,  75,  92, 100","Progress","numeric","  8","100",TRUE,"NA","NA"
"Duration__in_seconds_",147,0,"NA","Duration (in seconds)","numeric","   12","21558",TRUE,"NA","NA"
"Finished",2,0,"0, 1","Finished, no 0, yes 1","numeric","0","1",TRUE,"NA","NA"
"RecordedDate",169,0,"NA","Recorded Date","POSIXct","2019-07-04 14:22:02","2019-07-05 14:57:33",TRUE,"NA","NA"
"ResponseId",176,0,"NA","Response ID","character","R_07hdfjZaRPcrbPj","R_YQTAwAggZkZTO37",TRUE,"NA","NA"
"RecipientLastName",1,0,"","Recipient Last Name","character","","",TRUE,"NA","NA"
"RecipientFirstName",1,0,"","Recipient First Name","character","","",TRUE,"NA","NA"
"RecipientEmail",1,0,"","Recipient Email","character","","",TRUE,"NA","NA"
"ExternalReference",1,0,"","External Data Reference","character","","",TRUE,"NA","NA"
"LocationLatitude",1,176,"","Latitude","numeric","No Data Present","No Data Present",TRUE,"NA","NA"
"LocationLongitude",1,176,"","Longitude","numeric","No Data Present","No Data Present",TRUE,"NA","NA"
"DistributionChannel",1,0,"anonymous","Distribution Channel","character","anonymous","anonymous",TRUE,"NA","NA"
"UserLanguage",1,0,"EN","User Language","character","EN","EN",TRUE,"NA","NA"
"Q16",1,0,"1","Study Consent","numeric","1","1",TRUE,"NA","NA"
"Q14",4,1," 1,  2,  3","What is your gender?","numeric"," 1"," 3",TRUE,"NA","NA"
"Q14_3_TEXT",2,0,", Female       Mturk ID: A1EN3FW93BSXQQ","What is your gender? - Other - Text","character","","Female       Mturk ID: A1EN3FW93BSXQQ",TRUE,"NA","NA"
"Q15",7,1," 1,  2,  3,  4,  5,  6","What is your race?","numeric"," 1"," 6",TRUE,"NA","NA"
"Q15_7_TEXT",1,0,"","What your race? - Other - Text","character","","",TRUE,"NA","NA"
"Q1_1",7,10," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I was receptive to observing unpleasant thoughts and feelings without interfering with them.","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_2",7,10," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I tried to make peace with my negative thoughts and feelings rather than resisting them","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_3",7,10," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I was attentive and aware of my emotions","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_4",7,11," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I was in tune with my thoughts and feelings from moment to moment","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_5",7,12," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - Even when I felt hurt or upset, I tried to maintain a broader perspective","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_6",7,10," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I carried myself through tough moments by seeing my life from a larger viewpoint","numeric"," 1"," 6",TRUE,"NA","NA"
"Q1_7",7,11," 1,  2,  3,  4,  5,  6","IN THE LAST TWO WEEKS… - I was able to let negative feelings come and go without getting caught up in them","numeric"," 1"," 6",TRUE,"NA","NA"
