"fileName","variableName","description","unitText"
"iq_items.csv","reason.4","Basic reasoning question",NA
"iq_items.csv","reason.16","Basic reasoning question",NA
"iq_items.csv","reason.17","Basic reasoning question",NA
"iq_items.csv","reason.19","Basic reasoning question",NA
"iq_items.csv","letter.7","In the following alpha numeric series, what letter comes next?",NA
"iq_items.csv","letter.33","In the following alpha numeric series, what letter comes next?",NA
"iq_items.csv","letter.34","In the following alpha numeric series, what letter comes next?",NA
"iq_items.csv","letter.58","In the following alpha numeric series, what letter comes next?",NA
"iq_items.csv","matrix.45","A matrix reasoning task",NA
"iq_items.csv","matrix.46","A matrix reasoning task",NA
"iq_items.csv","matrix.47","A matrix reasoning task",NA
"iq_items.csv","matrix.55","A matrix reasoning task",NA
"iq_items.csv","rotate.3","Spatial rotation of type 1.2",NA
"iq_items.csv","rotate.4","Spatial rotation of type 1.2",NA
"iq_items.csv","rotate.6","Spatial rotation of type 1.1",NA
"iq_items.csv","rotate.8","Spatial rotation of type 2.3",NA
